,Neural Crest/Mid-HindBrain_1_corr,Neural Crest/Mid-HindBrain_1_pval,Neural Crest/Mid-HindBrain_1_qval,Neural Crest/Mid-HindBrain_1_ci_low,Neural Crest/Mid-HindBrain_1_ci_high,gene_annotation
ENSMUSG00000016637,0.47378139980317313,0.0,0.0,0.4644692213114309,0.4829888177174252,Ift27
ENSMUSG00000040957,0.47370377010533127,0.0,0.0,0.4643907171082955,0.4829120697570494,Cables1
ENSMUSG00000018973,0.47182612410446717,0.0,0.0,0.46249196384085034,0.48105570743441917,Hoxb1
ENSMUSG00000036030,0.47126898551577395,0.0,0.0,0.46192857873594745,0.4805048682550544,Prtg
ENSMUSG00000022283,0.4711945399486601,0.0,0.0,0.46185329907227746,0.4804312638711008,Pabpc1
ENSMUSG00000033904,0.47044430747088173,0.0,0.0,0.4610946684169107,0.4796895012360771,Ccp110
ENSMUSG00000040204,0.4669370499562254,0.0,0.0,0.4575483315992249,0.47622166404794297,2810417H13Rik
ENSMUSG00000021803,0.46333088941746897,0.0,0.0,0.45390230114984004,0.472655734303835,Cdhr1
ENSMUSG00000044147,0.4628596157802727,0.0,0.0,0.45342584041068196,0.4721896956941869,Arf6
ENSMUSG00000030519,0.45934265849159883,0.0,0.0,0.4498703437640908,0.4687116409565813,Apba2
ENSMUSG00000063445,0.4566555176057968,0.0,0.0,0.44715395910811384,0.466054027893235,Nmral1
ENSMUSG00000096991,0.4548107936678817,0.0,0.0,0.4452892607556446,0.4642294766391274,Gm26789
ENSMUSG00000024968,0.4515381030312375,0.0,0.0,0.4419813371004916,0.46099237727469927,Rcor2
ENSMUSG00000023944,0.45082704424034253,0.0,0.0,0.4412626575877776,0.4602890181395739,Hsp90ab1
ENSMUSG00000039982,0.4500926124923679,0.0,0.0,0.44052036750025525,0.45956252666904035,Dtx4
ENSMUSG00000025786,0.44944911090856554,0.0,0.0,0.43986999127758064,0.45892597185861733,Zdhhc3
ENSMUSG00000027305,0.448395225697806,0.0,0.0,0.43880486893103804,0.4578834426082967,Ndufaf1
ENSMUSG00000070526,0.4476588987024622,0.0,0.0,0.4380607067817083,0.45715503429282345,Peg12
ENSMUSG00000062867,0.44733390800879574,0.0,0.0,0.43773226209124416,0.4568335345936531,Impdh2
ENSMUSG00000030753,0.4467030305220801,0.0,0.0,0.4370946869624564,0.45620942680023985,Prkrir
ENSMUSG00000048814,0.4461359032227858,0.0,0.0,0.43652154706001955,0.45564837713412815,Lonrf2
ENSMUSG00000049556,0.44566677390474385,0.0,0.0,0.43604744999671896,0.4551842695398889,Lingo1
ENSMUSG00000086596,0.441999920142695,0.0,0.0,0.43234195082990545,0.4515564888618934,Susd5
ENSMUSG00000022935,0.44186163761099795,0.0,0.0,0.43220221730456515,0.45141967365170804,Grik1
ENSMUSG00000037568,0.4416363362579634,0.0,0.0,0.43197455286605935,0.45119676201781544,Vash2
ENSMUSG00000037993,0.4415914339557544,0.0,0.0,0.4319291797507714,0.451152335841329,Dhx38
ENSMUSG00000034194,0.4407799568277553,0.0,0.0,0.43110920248880474,0.45034945512002583,R3hcc1
ENSMUSG00000036992,0.44037467729601354,0.0,0.0,0.4306996836792263,0.44994846313398607,Nxt1
ENSMUSG00000079003,0.44020870311264115,0.0,0.0,0.43053197453372294,0.4497842437156074,Samd1
ENSMUSG00000024530,0.43946975497604496,0.0,0.0,0.4297853101307987,0.4490531002630441,Slmo1
ENSMUSG00000017667,0.4393160901390984,0.0,0.0,0.42963004235379193,0.44890105680426606,Zfp334
ENSMUSG00000016619,0.4374238142589161,0.0,0.0,0.4277180743298301,0.4470287015731147,Nup50
ENSMUSG00000030268,0.4374051749062728,0.0,0.0,0.42769924143698873,0.4470102580248432,Bcat1
ENSMUSG00000041375,0.43634932447222813,0.0,0.0,0.4266324414238304,0.4459654858510671,Ccdc9
ENSMUSG00000035200,0.43572930835216755,0.0,0.0,0.42600600809595607,0.4453519628908289,Chrnb4
ENSMUSG00000020496,0.43548600292578044,0.0,0.0,0.4257601869894434,0.44511120302779716,Rnf187
ENSMUSG00000056394,0.4349658243311064,0.0,0.0,0.4252346347733967,0.4445964620916989,Lig1
ENSMUSG00000022466,0.434485043885436,0.0,0.0,0.42474889353804063,0.4441207018017958,Rpap3
ENSMUSG00000025591,0.43232109398339774,0.0,0.0,0.42256268495822863,0.4419792799029333,Tma16
ENSMUSG00000095139,0.4319978875187466,0.0,0.0,0.4222361636954973,0.4416594287603214,Pou3f2
ENSMUSG00000045877,0.43077646753146187,0.0,0.0,0.42100223972716466,0.44045066659356313,4933415A04Rik
