,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000006369,-0.015832849766884333,0.0014098908231311917,0.0018372506496214117,-0.02554928713055485,-0.006113421201118641,Fbln1
ENSMUSG00000052914,-0.015833264180055043,0.0014094828467689023,0.0018368164996746333,-0.02554970137705198,-0.006113835702709676,Cyp2j6
ENSMUSG00000031789,-0.015834058869209477,0.0014087008054671983,0.0018358948020505681,-0.025550495746579627,-0.006114630561430496,Cngb1
ENSMUSG00000063975,-0.01583595776430172,0.0014068337519412498,0.001833558885107844,-0.025552393877879862,-0.006116529861748236,Slco1a5
ENSMUSG00000030022,-0.0158360121407455,0.0014067803209243624,0.001833558885107844,-0.02555244823245079,-0.006116584249797018,Adamts9
ENSMUSG00000085565,-0.015836457923581657,0.0014063423593174155,0.0018331130604141638,-0.025552893835969225,-0.006117030127774173,Gm15721
ENSMUSG00000037157,-0.015836740207743224,0.0014060650928216165,0.0018328489598596403,-0.025553176006578995,-0.006117312472184102,Il22ra1
ENSMUSG00000038555,-0.015838161297979027,0.0014046700281590927,0.001831127669712331,-0.025554596525142657,-0.006118733865749024,Reep2
ENSMUSG00000100287,-0.015838869941123445,0.0014039748399362704,0.0018303186040522122,-0.02555530488320146,-0.006119442660166704,Gm28068
ENSMUSG00000028156,-0.01584142798420594,0.0014014680046067472,0.001827147538716273,-0.02555786189710755,-0.006122001249393066,Eif4e
ENSMUSG00000110554,-0.015843334720909784,0.001399602122916855,0.001824811816783741,-0.025559767866592097,-0.006123908393269219,RP23-399J5.1
ENSMUSG00000049281,-0.01584587969981523,0.0013971152432802607,0.001821666141955229,-0.02556231182135679,-0.006126453915749978,Scn3b
ENSMUSG00000079560,-0.01584637617886232,0.001396630573550166,0.0018211309066760674,-0.025562808100597995,-0.006126950500853396,Hoxa3
ENSMUSG00000032530,-0.015850838896745927,0.0013922809611950835,0.0018156521038541294,-0.02556726902226472,-0.006131414172264303,Lyzl4
ENSMUSG00000021156,-0.01585140202453139,0.0013917329940482783,0.0018150339142607738,-0.02556783192336717,-0.006131977420398071,Zmynd11
ENSMUSG00000063296,-0.01585574997644763,0.001387508789345947,0.0018096210250210726,-0.02557217812483941,-0.0061363263017402475,Tmem117
ENSMUSG00000044912,-0.015862224886483877,0.0013812400714680088,0.0018018280768653395,-0.025578650427457782,-0.0061428025965462076,Syt16
ENSMUSG00000038126,-0.01586701666121098,0.0013766177178749725,0.0017958936349238216,-0.02558344027203373,-0.00614759539660086,Mphosph9
ENSMUSG00000089917,-0.015869545009039216,0.0013741845175025836,0.001792814616808727,-0.025585967601250845,-0.006150124285616282,Uckl1
ENSMUSG00000039783,-0.01586967129309121,0.0013740630898704206,0.0017927514604367397,-0.025586093834422747,-0.006150250596702351,Kmo
ENSMUSG00000001089,-0.01588134941204277,0.0013628767421124612,0.0017782510374844632,-0.02559776724689789,-0.006161931216971014,Luzp1
ENSMUSG00000031478,-0.015882199198797083,0.001362066027779569,0.0017772876867582896,-0.025598616691070563,-0.006162781185843274,Nek3
ENSMUSG00000040857,-0.015884142786451713,0.0013602134763316621,0.001774964723406589,-0.02560055949513771,-0.006164725190081311,Erf
ENSMUSG00000069670,-0.015884552449868937,0.0013598232979201094,0.0017745498889409229,-0.025600968993383412,-0.006165134941314075,Nkain2
ENSMUSG00000097632,-0.015886223259101426,0.0013582330270324702,0.001772568823669867,-0.0256026391289313,-0.0061668061087354065,4930552P12Rik
ENSMUSG00000044252,-0.0158877886452815,0.0013567446541291237,0.0017707205373260816,-0.025604203883885034,-0.006168371830552938,Osbpl1a
ENSMUSG00000107451,-0.015891742532857744,0.0013529919847480182,0.0017659167088157643,-0.025608156176883595,-0.006172326566102015,Gm44421
ENSMUSG00000027966,-0.015895043459001324,0.0013498663826008903,0.0017619308572895832,-0.02561145577155204,-0.006175628200413534,Col11a1
ENSMUSG00000028134,-0.01590665829921545,0.001338921323260941,0.0017480163952303853,-0.025623065925073414,-0.006187245534115223,Ptbp2
ENSMUSG00000032548,-0.015907405426933894,0.0013382200896712815,0.0017471938123695455,-0.025623812751229356,-0.00618799282231773,Slco2a1
ENSMUSG00000046567,-0.015908319873248818,0.00133736227656617,0.0017461666993327275,-0.025624726828432365,-0.0061889074650717645,4930430F08Rik
ENSMUSG00000024978,-0.015922119004189998,0.0013244791833598982,0.0017294374785859822,-0.025638520387447357,-0.006202709562282619,Gpam
ENSMUSG00000107728,-0.015924834321514994,0.0013219576412134835,0.0017262367836971303,-0.025641234607923627,-0.006205425463729938,Gm43949
ENSMUSG00000021870,-0.01593616401766018,0.0013114841998286219,0.0017126514586560462,-0.025652559725907652,-0.0062167575986803,Slmap
ENSMUSG00000037625,-0.01593964526802843,0.0013082814603614225,0.001708559915680513,-0.02565603956905366,-0.006220239598916127,Cldn11
ENSMUSG00000069565,-0.01594300038504602,0.001305201594711555,0.0017046284139240436,-0.02565939332961293,-0.006223595438854984,Dazap1
ENSMUSG00000049098,-0.015947104119211276,0.0013014436251428813,0.0016998108247956176,-0.02566349540436005,-0.006227700057542389,Olfr147
ENSMUSG00000050106,-0.015947404010013457,0.0013011693938653392,0.0016996334836232075,-0.025663795173883203,-0.006228000012996115,Tmc8
ENSMUSG00000026162,-0.01594810978449356,0.0013005242179110195,0.0016988811172200771,-0.025664500662933715,-0.00622870593963654,Nhej1
ENSMUSG00000027900,-0.01595140271003728,0.0012975179266969926,0.0016950441702811836,-0.025667792256623263,-0.006231999575241317,Dram2
ENSMUSG00000097876,-0.015955637067804916,0.0012936615767370032,0.0016900962609507212,-0.02567202490145612,-0.006236234846383128,Gm16892
ENSMUSG00000039148,-0.015955656711421566,0.0012936437114134845,0.0016900962609507212,-0.02567204453712548,-0.006236254494237825,Sart1
ENSMUSG00000061531,-0.01595910091909388,0.0012905148179367073,0.00168616464317929,-0.025675487351246064,-0.0062396994451030885,Tmem236
ENSMUSG00000033491,-0.015960046426825206,0.0012896570933593184,0.001685133632578924,-0.02567643247637769,-0.00624064515689693,Prss35
ENSMUSG00000020652,-0.015960574422663083,0.0012891783468740067,0.0016845977312497,-0.0256769602585545,-0.00624117326669613,Cenpo
ENSMUSG00000052911,-0.015962400356266834,0.0012875239933006024,0.0016825254994420052,-0.02567878545322633,-0.006242999594446696,Lamb2
ENSMUSG00000053907,-0.015962923049937894,0.001287050777183262,0.0016819966296589902,-0.025679307935358046,-0.006243522400958579,Mat2a
ENSMUSG00000024669,-0.01596503370482775,0.0012851415467999418,0.001679590932451409,-0.025681417735990777,-0.006245633511557559,Cd5
